dataset,max_force
1,12.8961
2,12.5952
3,12.3607
4,12.6477
5,12.9079
6,12.6331
7,12.8438
8,12.5533
9,12.1772
10,12.8087
11,12.7526
12,12.1913
13,12.4418
14,12.4971
16,12.5208
17,12.1842
18,12.6602
19,12.4863
20,13.2022
21,12.614
22,12.3422
23,12.4033
24,12.8312
25,12.5911
26,12.5982
27,12.3311
28,13.0209
29,13.1726
30,12.842
31,12.7357
32,13.0505
33,12.7815
34,12.8387
35,12.7915
36,12.398
37,12.3973
39,13.4234
40,12.0358
41,12.6889
42,12.5725
43,12.7106
44,12.2352
45,12.8451
46,12.9021
47,12.8212
